pl_name,pl_masse,pl_rade,classification
K2-419 A b,196.0,10.641599,Gas Giant
HAT-P-63 b,195.146642,13.083392,Gas Giant
HATS-25 b,194.82979,14.2063,Gas Giant
NGTS-23 b,194.828813,14.201779,Gas Giant
WASP-54 b,194.085227,17.943839,Gas Giant
TOI-3474 b,193.875328,14.373028,Gas Giant
TOI-1670 c,191.968358,10.687692,Gas Giant
HAT-P-3 b,191.61082,10.086876,Gas Giant
HATS-56 b,191.33366,17.973246,Gas Giant
TOI-5300 b,190.697044,10.916552,Gas Giant
K2-30 b,189.74451,12.851839,Gas Giant
WASP-22 b,189.319397,13.202611,Gas Giant
HATS-53 b,189.10885,14.86723,Gas Giant
TOI-216.01,188.991954,10.617505,Gas Giant
WASP-70 A b,188.628255,12.979323,Gas Giant
NGTS-27 b,188.472245,14.670769,Gas Giant
WASP-55 b,188.407817,14.740133,Gas Giant
TOI-3980 b,187.51876,15.763643,Gas Giant
TOI-3837 b,187.51876,10.948006,Gas Giant
WASP-124 b,187.042495,14.362457,Gas Giant
HAT-P-55 b,186.248064,13.970487,Gas Giant
Kepler-8 b,186.1668,15.449817,Gas Giant
HAT-P-39 b,185.608635,18.112872,Gas Giant
XO-2 N b,185.372415,11.428292,Gas Giant
HAT-P-64 b,184.340476,18.625147,Gas Giant
TOI-5322 b,184.022648,16.671105,Gas Giant
HATS-69 b,183.38791,10.342562,Gas Giant
WASP-34 b,182.988198,12.987895,Gas Giant
WASP-157 b,182.43442,11.54124,Gas Giant
HAT-P-60 b,182.433506,18.312324,Gas Giant
WASP-184 b,181.1631,14.868485,Gas Giant
NGTS-32 b,181.162192,15.916753,Gas Giant
HAT-P-25 b,180.41896,13.016856,Gas Giant
HATS-13 b,180.368525,13.093099,Gas Giant
OGLE-TR-111 b,179.573013,11.40295,Gas Giant
WASP-169 b,178.30263,16.493355,Gas Giant
HATS-44 b,177.9848,11.944621,Gas Giant
WASP-62 b,177.82386,15.28961,Gas Giant
HAT-P-40 b,177.55821,18.463101,Gas Giant
HAT-P-17 b,177.266878,11.57111,Gas Giant
WASP-25 b,176.712097,13.536785,Gas Giant
HATS-10 b,176.554565,11.422034,Gas Giant
WASP-15 b,176.510588,15.666293,Gas Giant
TOI-3321 b,176.076937,15.144133,Gas Giant
WASP-159 b,174.8065,13.90591,Gas Giant
CoRoT-26 b,174.8007,14.12167,Gas Giant
WASP-80 b,174.42224,11.00692,Gas Giant
HAT-P-65 b,171.786674,19.032349,Gas Giant
TOI-3856 b,171.62734,13.478497,Gas Giant
WASP-56 b,171.625557,11.871197,Gas Giant
