feature,planet_name,n_measurements,min_value,max_value,mean_value,range,relative_range_pct
pl_masse,Kepler-83 d,3,4.1,24.6,11.50747,20.5,178.14515267039585
pl_masse,Kepler-51 c,7,3.73,9.7,5.357142857142857,5.969999999999999,111.43999999999998
pl_masse,Kepler-83 c,3,2.03,11.4,5.505193333333334,9.370000000000001,170.20292354249747
pl_masse,Kepler-93 b,5,2.59,4.66,3.922851412,2.0700000000000003,52.767739141683315
pl_masse,Kepler-32 e,2,1.11884,4.08181,2.6003249999999998,2.96297,113.94614134771615
pl_masse,Kepler-80 b,6,0.57,6.93,3.2733333333333334,6.359999999999999,194.29735234215883
pl_masse,Kepler-12 b,4,136.6669,137.62039,137.1422125,0.953489999999988,0.6952563930671513
pl_masse,Kepler-128 b,6,0.77,42.7,14.921666666666667,41.93,281.00078186082874
pl_masse,Kepler-9 b,6,43.4,2175.0,404.9197786666668,2131.6,526.4252605834674
pl_masse,Kepler-11 d,6,6.1,7.47,6.935,1.37,19.754866618601298
pl_masse,Kepler-26 c,5,6.1,119.181,29.016199999999998,113.081,389.71677890281984
pl_masse,Kepler-45 b,3,153.82972,160.497,157.74724,6.667280000000005,4.226558892567632
pl_masse,Kepler-128 c,6,0.9,37.0,14.201666666666668,36.1,254.19551695810347
pl_masse,Kepler-54 b,3,0.98,21.5,8.523333333333333,20.52,240.75087993742667
pl_masse,Kepler-79 e,5,3.4,6.54,5.261999999999999,3.14,59.67312808817942
pl_masse,Kepler-11 b,5,1.07,4.3,2.75,3.2299999999999995,117.45454545454544
pl_masse,Kepler-41 b,5,156.69019,179.89178,173.469354,23.20159000000001,13.375036837918937
pl_masse,KOI-94 c,4,7.8,15.6,11.1,7.8,70.27027027027027
pl_masse,KOI-94 e,3,10.49,35.0,19.496666666666666,24.509999999999998,125.71379723029577
pl_masse,Kepler-68 c,4,1.3,7.2,3.835,5.9,153.84615384615387
pl_masse,Kepler-11 e,6,6.7,8.79,7.710000000000001,2.089999999999999,27.107652399481175
pl_masse,Kepler-49 b,4,5.48,9.77,7.9624999999999995,4.289999999999999,53.877551020408156
pl_masse,Kepler-5 b,4,648.3732,675.70658,666.7207275000001,27.333380000000034,4.099674552265968
pl_masse,Kepler-26 b,4,4.85,120.77,33.94,115.92,341.54390100176784
pl_masse,Kepler-65 c,2,5.4,26.6,16.0,21.200000000000003,132.50000000000003
pl_masse,Kepler-79 d,4,6.0,12.4,9.975000000000001,6.4,64.16040100250626
pl_masse,WASP-18 b,12,3213.2613,3635.9752,3310.160612616666,422.71389999999974,12.770193035009452
pl_masse,HAT-P-2 b,10,2739.6946,3632.7969,2931.959143114,893.1023,30.46093947446506
pl_masse,Kepler-11 c,5,2.09,13.5,5.79868,11.41,196.76891982313217
pl_masse,Kepler-49 c,4,4.95,8.38,6.8825,3.4300000000000006,49.836541954231755
pl_masse,Kepler-138 d,4,0.64,2.1,1.23,1.46,118.69918699186992
pl_masse,Kepler-83 b,3,2.94,42.1,16.57656,39.160000000000004,236.2371927589319
pl_masse,Kepler-105 c,5,3.0,6.71,4.702,3.71,78.90259464057847
pl_masse,Kepler-60 c,5,2.0,17.2,6.338,15.2,239.82328810350268
pl_masse,WASP-17 b,9,143.97699,247.9074,166.81937666666667,103.93041,62.30116193736327
pl_masse,Kepler-56 c,3,137.6,286.8,201.80000000000004,149.20000000000002,73.93458870168483
pl_masse,Kepler-8 b,4,177.9848,191.643,186.16680000000002,13.658199999999994,7.336539060670319
pl_masse,Kepler-52 b,3,6.27,135.0,73.62333333333333,128.73,174.84945895775795
