pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,disc_year,discoverymethod,hostname
HATS-75 b,156.05374784,9.786932475,2.7886548162149998,728.51,194.964,2021.0,Transit,HATS-75
HATS-76 b,835.570882,11.925697285,1.941639433755,898.565,385.689,2021.0,Transit,HATS-76
HATS-8 b,44.972944999999996,9.807827496666667,3.583961986186667,1268.255,794.6370000000001,2015.0,Transit,HATS-8
HD 101581 b,,0.967729145,4.465878982805,787.47,12.7781,2025.0,Transit,HIP 56998
HD 101581 c,,1.00572997,6.2035853937750005,705.54,12.7781,2025.0,Transit,HIP 56998
HD 106315 b,11.55,2.3586757742857145,9.55711422979875,1082.114,109.353,2017.0,Transit,HD 106315
HD 108236 b,,1.5847116633333334,3.7959357427100002,1085.5349999999999,64.5978,2020.0,Transit,HD 108236
HD 108236 c,,2.06524934,6.2036147213825,921.075,64.5978,2020.0,Transit,HD 108236
HD 108236 d,,2.6273880433333336,14.1757514313625,699.5,64.5978,2020.0,Transit,HD 108236
HD 108236 e,,3.0685476033333337,19.59051720231,628.1800000000001,64.5978,2020.0,Transit,HD 108236
HD 109833 b,,2.526955,9.188516,786.0,79.5561,2022.0,Transit,HD 109833
HD 109833 c,,2.6018424099999997,13.901493532589999,756.7,79.5561,2022.0,Transit,HD 109833
HD 110067 b,5.69,2.2,9.113678,800.0,32.1585,2023.0,Transit,HD 110067
HD 110067 c,6.3,2.388,13.673694,699.0,32.1585,2023.0,Transit,HD 110067
HD 110067 d,8.52,2.852,20.519617,602.0,32.1585,2023.0,Transit,HD 110067
HD 110067 e,3.9,1.94,30.793091,533.0,32.1585,2023.0,Transit,HD 110067
HD 110067 f,5.04,2.601,41.05854,489.0,32.1585,2023.0,Transit,HD 110067
HD 110067 g,8.4,2.607,54.76992,440.0,32.1585,2023.0,Transit,HD 110067
HD 110082 b,,3.12690284,10.18270413675,957.2,105.096,2021.0,Transit,HD 110082
HD 110113 b,4.55,2.101655,2.5406469966666667,1381.0,106.307,2021.0,Transit,HD 110113
HD 110113 c,,2.11384817,6.7429397814000005,970.825,106.307,2021.0,Radial Velocity,HD 110113
HD 135694 b,5.9,2.5202608,15.923470967,766.9433333333333,73.8713,2023.0,Transit,HD 135694
HD 136352 b,4.673333333333333,1.582803215,11.57875804167,874.11,14.681999999999999,2019.0,Radial Velocity,HD 136352
HD 136352 c,11.25,2.77150696,27.58987155071,654.2199999999999,14.681999999999999,2019.0,Radial Velocity,HD 136352
HD 137496 b,4.04,1.31,1.62116,2130.0,155.317,2021.0,Transit,HD 137496
HD 1397 b,124.27153,11.727682999999999,11.5355215,1373.65,79.5702,2018.0,Transit,HD 1397
HD 149026 b,111.716505,8.160857857142856,2.875969524,1620.6666666666667,75.8643,2005.0,Radial Velocity,HD 149026
HD 152843 b,10.690000000000001,3.222518003333333,11.622621466556666,1003.11,107.89799999999998,2021.0,Transit,HD 152843
HD 152843 c,18.585,5.318136086666667,21.941052,253.08,107.89799999999998,2021.0,Transit,HD 152843
HD 15337 b,7.076333333333333,1.708604255,4.7561310198225,972.1766666666666,44.8155,2019.0,Transit,HD 15337
HD 15337 c,7.897333333333333,2.40835086,17.1795168397525,630.29,44.8155,2019.0,Transit,HD 15337
HD 158259 b,,1.28228,2.17797035,1462.0,27.0498,2020.0,Radial Velocity,HD 158259
HD 15906 b,,2.070750905,10.924628398245,644.71,45.5621,2023.0,Transit,HD 15906
HD 15906 c,,2.93,21.583298,532.0,45.5621,2023.0,Transit,HD 15906
HD 17156 b,1042.3614028033332,10.627538285714285,21.2149934,784.0,78.0863,2007.0,Radial Velocity,HD 17156
HD 183579 b,17.099999999999998,3.5366706949999998,17.471287955945,739.59,57.2651,2021.0,Transit,HD 183579
HD 18599 b,24.8,2.6585886166666666,4.137436772223333,890.8399999999999,38.5653,2022.0,Transit,HD 18599
HD 191939 b,10.0,3.364212692,8.8803297,836.1380000000001,53.6089,2020.0,Transit,HD 191939
HD 191939 c,7.1000000000000005,3.166576226,28.58019657142857,571.302,53.6089,2020.0,Transit,HD 191939
HD 191939 d,3.6,3.119249582,38.35295355,516.9680000000001,53.6089,2020.0,Transit,HD 191939
HD 20329 b,7.42,1.69868,0.9260906,1858.5,63.6796,2022.0,Transit,HD 20329
HD 207496 b,6.1,2.40687,6.441007,798.0,23.606,2023.0,Transit,HD 207496
HD 207897 b,14.600000000000001,2.4083437733333333,16.201833566666668,618.3166666666667,28.2938,2021.0,Transit,HD 207897
HD 213885 b,8.83,1.7326000000000001,1.00813555,1981.5,48.0883,2019.0,Transit,HD 213885
HD 21520 b,17.7,2.697,25.1292,637.0,79.208,2024.0,Transit,HD 21520
HD 21749 c,3.7,0.94642,7.7898513000000005,833.5,16.32,2019.0,Transit,GJ 143
HD 219134 b,4.74,1.5056329275,3.093037914285714,965.2133333333333,6.53127,2015.0,Radial Velocity,HD 219134
HD 219134 c,4.36,1.4700499999999999,6.764888133333333,762.3000000000001,6.53127,2015.0,Radial Velocity,HD 219134
HD 219134 d,16.17,1.61,46.74075,410.5,6.53127,2015.0,Radial Velocity,HD 219134
HD 219134 f,7.3,1.31,22.772166666666664,522.6,6.53127,2015.0,Radial Velocity,HD 219134
HD 219666 b,17.1,4.5720725,6.0364532833333335,943.75,94.1719,2018.0,Transit,HD 219666
HD 221416 b,60.5,8.763303875,14.277240665413332,789.15,95.5483,2019.0,Transit,HD 221416
