pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,disc_year,discoverymethod,hostname,density
HAT-P-8 b,443.55922799999996,15.8862121325,3.07634490085125,1646.25,211.553,2008.0,Transit,HAT-P-8,0.11063449210250752
HAT-P-9 b,237.608228,15.667842833333333,3.9228267000000003,1494.75,455.203,2008.0,Transit,HAT-P-9,0.06177800169235939
HATS-1 b,572.87625,13.909341079999999,3.446456350485,1279.4650000000001,283.971,2012.0,Transit,HATS-1,0.2128830811171688
HATS-10 b,176.55456500000003,11.422033546666666,3.312834035145,1389.385,534.889,2015.0,Transit,HATS-10,0.11848098528129966
HATS-13 b,180.368525,13.093098646666666,3.0440523323614284,1159.6599999999999,421.855,2015.0,Transit,HATS-13,0.0803587983441111
HATS-14 b,340.0781,11.8091002175,2.7667620283049996,1242.7849999999999,513.011,2015.0,Transit,HATS-14,0.20650389180562934
HATS-16 b,1039.3041,14.159361964999999,2.6865029873025,1512.185,757.044,2016.0,Transit,HATS-16,0.36610999743462574
HATS-17 b,425.25654,9.195576500000001,16.25465564,800.5,400.331,2016.0,Transit,HATS-17,0.5469077984936404
HATS-18 b,629.2239425,15.284770676666668,0.837842415008,2012.8333333333333,624.368,2016.0,Transit,HATS-18,0.1762091506603224
HATS-2 b,449.7226058633334,12.9960630275,1.354133479597143,1514.3266666666666,341.925,2013.0,Transit,HATS-2,0.20488458848214736
HATS-22 b,870.8542,11.38598875,4.72281550956,843.2,229.518,2017.0,Transit,HATS-22,0.5899744439388926
HATS-23 b,467.2101,21.6761405,2.1604567666666665,1654.0,639.004,2017.0,Transit,HATS-23,0.045873972572995046
HATS-24 b,746.9005,16.3901879475,1.3484968220525,2024.2233333333334,494.182,2017.0,Transit,HATS-24,0.16963323684000142
HATS-25 b,194.82979,14.20630044,4.298645414042,1227.4299999999998,471.158,2016.0,Transit,HATS-25,0.06795358557775732
HATS-26 b,206.5895,18.71187062,3.3023907461,1835.97,861.8430000000001,2016.0,Transit,HATS-26,0.03153237092562555
HATS-27 b,168.4499,16.059023250000003,4.63704459474,1601.425,816.988,2016.0,Transit,HATS-27,0.040673671514681355
HATS-28 b,213.58176,13.4150165,3.1808969,1253.0,535.383,2016.0,Transit,HATS-28,0.0884688796352569
HATS-29 b,207.065727275,13.482221273333332,4.605929133333333,1221.0,353.891,2016.0,Transit,HATS-29,0.08449361087213422
HATS-30 b,224.38798,14.04390029,3.17435118681,1367.325,342.14,2016.0,Transit,HATS-30,0.08100957931094614
HATS-31 b,279.6904,16.357717555,3.3779519444533332,1720.4650000000001,773.974,2016.0,Transit,HATS-31,0.06390126342177888
HATS-32 b,292.4036,13.03292081,2.8126528176675,1353.4450000000002,745.116,2016.0,Transit,HATS-32,0.13208619995755355
HATS-33 b,378.85336,13.213128276666666,2.5495615352485714,1383.4299999999998,248.46,2016.0,Transit,HATS-33,0.16423064159157968
HATS-34 b,299.07803,14.55787102,2.1061598899075,1376.52,508.842,2016.0,Transit,HATS-34,0.09693729783889585
HATS-35 b,388.38826,16.034638,1.8209383760000002,1997.5,514.555,2016.0,Transit,HATS-35,0.09420818020898224
HATS-36 b,1022.14128,13.328504798,4.175112200438,1248.1833333333334,856.436,2018.0,Transit,HATS-36,0.43168467373751007
HATS-37 A b,31.46517,6.792654,4.3315366,1085.0,211.896,2020.0,Transit,HATS-37 A,0.10039488867966179
HATS-38 b,23.51942,6.673051259999999,4.374841460123333,1224.105,343.5249999999999,2020.0,Transit,HATS-38,0.07915042018745046
HATS-39 b,200.2329,18.37762614,4.577481109643999,1622.28,878.521,2018.0,Transit,HATS-39,0.032260210759046205
HATS-4 b,418.25523499999997,11.924831596666666,2.516727523667143,1277.525,416.459,2014.0,Transit,HATS-4,0.24665198877728323
HATS-40 b,505.3497,16.400234310000002,3.2640362435425,2006.875,1342.29,2018.0,Transit,HATS-40,0.11456233416919435
HATS-42 b,597.5204,14.471157080000001,2.29208891465,1739.175,800.377,2018.0,Transit,HATS-42,0.19717096596898542
HATS-43 b,82.95363,13.56303617,4.38884960791,976.3399999999999,362.27299999999997,2018.0,Transit,HATS-43,0.033247931830791784
HATS-44 b,177.9848,11.944620910000001,2.743901147386667,1114.04,446.035,2018.0,Transit,HATS-44,0.10443974481058835
HATS-45 b,222.481,14.15750544,4.1876190963,1439.6,772.11,2018.0,Transit,HATS-45,0.07840300642828299
HATS-46 b,54.98459,10.33615962,4.742371280236,1012.315,453.808,2018.0,Transit,HATS-46,0.04979243540729427
HATS-47 b,117.27927,12.928661739999999,3.9228028277675002,820.5,300.67,2020.0,Transit,HATS-47,0.05427008919195001
HATS-48 A b,77.23269,9.23335956,3.1316686262099998,922.5799999999999,263.609,2020.0,Transit,HATS-48 A,0.09811195230467804
HATS-49 b,112.19399,8.601712724999999,4.147541311675,810.76,324.413,2020.0,Transit,HATS-49,0.1762847689845928
HATS-5 b,75.48327,10.221763766666667,4.7633895103085715,981.685,246.384,2014.0,Transit,HATS-5,0.07067619924596613
HATS-50 b,123.9537,13.13618865,3.830058873825,1275.39,756.742,2017.0,Transit,HATS-50,0.054682878113574
HATS-51 b,244.09344,14.407864020000002,3.348876287686,1441.665,389.57,2017.0,Transit,HATS-51,0.08161261713237883
HATS-52 b,711.9392,15.463919,1.36665563,1755.0,555.134,2017.0,Transit,HATS-52,0.19252370359943033
HATS-53 b,189.10885,14.86723,3.85377372,1305.0,585.77,2017.0,Transit,HATS-53,0.05754686550767527
HATS-54 b,240.437795235,11.298272803333333,2.544171,1451.6666666666667,748.585,2019.0,Transit,HATS-54,0.1667118866880947
HATS-55 b,292.72143,13.062479499999998,4.2041981019325,1288.5,609.838,2019.0,Transit,HATS-55,0.13133414539984675
HATS-56 b,191.33366,17.973246,4.324775525,1749.5,564.409,2019.0,Transit,HATS-56,0.03295427970461869
HATS-57 b,1000.21101,12.7840255,2.35061908,1387.2,279.485,2019.0,Transit,HATS-57,0.47872790816086774
HATS-58 A b,327.3649,11.140950895,4.2180780189,1424.5349999999999,403.591,2019.0,Transit,HATS-58 A,0.23673655993632037
HATS-59 b,256.17098,12.998266999999998,5.416100533333334,1107.5,642.884,2018.0,Transit,HATS-59,0.11664699863769046
HATS-6 b,101.38777,11.345241309999999,3.3252691600183333,690.885,169.318,2015.0,Transit,HATS-6,0.0694295512166264
HATS-60 b,210.40346,11.7105885,3.5608178,1459.0,486.474,2018.0,Transit,HATS-60,0.1310137011892572
HATS-61 b,1080.622,11.6732625,7.818009466666666,1175.55,679.761,2018.0,Transit,HATS-61,0.6793554279903082
HATS-62 b,56.89157,11.819902240000001,3.276997743805,1185.655,523.067,2018.0,Transit,HATS-62,0.034451351616212815
HATS-63 b,305.1168,13.02376617,3.05664462779,1332.04,623.232,2018.0,Transit,HATS-63,0.13811993019642957
HATS-64 b,305.1168,17.390943425,4.90889030476,1736.5349999999999,1080.15,2018.0,Transit,HATS-64,0.05800917567919401
HATS-65 b,260.93843,16.29974886,3.1051840746000003,1566.565,493.32,2018.0,Transit,HATS-65,0.06025530733847829
HATS-67 b,460.8535,17.827332499999997,1.6091823650000001,1890.0,960.109,2018.0,Transit,HATS-67,0.08133993035163432
HATS-68 b,410.0007,15.142124540000001,3.5862356999719998,1699.6950000000002,603.955,2018.0,Transit,HATS-68,0.1180930003537572
HATS-69 b,183.38791,10.342561955,2.2252048203449997,1241.85,414.537,2018.0,Transit,HATS-69,0.16576250748332075
HATS-7 b,38.616344999999995,6.01445632,3.185314879812,1028.38,240.70699999999997,2015.0,Transit,HATS-7,0.17749333119750296
HATS-71 b,117.5971,10.902088975,3.7955189709525,556.37,140.225,2020.0,Transit,HATS-71,0.09075434895924822
HATS-72 b,39.855882,8.7938258,7.3279481,718.15,127.589,2020.0,Transit,HATS-72,0.05860826291592886
HATS-74 A b,464.02947422,11.79880868,1.7318544998249998,836.61,299.389,2021.0,Transit,HATS-74 A,0.28250822072038395
HATS-75 b,156.05374784,9.786932475,2.7886548162149998,728.51,194.964,2021.0,Transit,HATS-75,0.16646940511019873
HATS-76 b,835.570882,11.925697285,1.941639433755,898.565,385.689,2021.0,Transit,HATS-76,0.49264258846525605
HATS-77 b,436.69623122,13.479795935,3.08762796672,813.17,436.176,2021.0,Transit,HATS-77,0.17829102877286243
