pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,discoverymethod,disc_year,hostname
KELT-7 b,406.8224,17.183397,2.7347749,2048.0,136.681,Transit,2015,KELT-7
GJ 3470 b,14.1,4.32,3.336649,,29.4214,Radial Velocity,2012,GJ 3470
GJ 3470 b,,,3.336665,,29.4214,Radial Velocity,2012,GJ 3470
GJ 3470 b,,,3.336649,,29.4214,Radial Velocity,2012,GJ 3470
WASP-39 b,89.94589,14.930388,4.0552765,,213.982,Transit,2011,WASP-39
KELT-7 b,,,2.73478,,136.681,Transit,2015,KELT-7
WASP-43 b,,,0.813473978,,86.7467,Transit,2011,WASP-43
HD 3167 c,,2.83066164,29.844982,,47.2899,Transit,2016,HD 3167
HR 8799 b,,,171667.5,,41.2441,Imaging,2008,HR 8799
HR 8799 c,,,67571.25,,41.2441,Imaging,2008,HR 8799
HR 8799 d,,,,,41.2441,Imaging,2008,HR 8799
WASP-103 b,467.2101,18.450014,,2489.0,375.647,Transit,2014,WASP-103
WASP-19 b,339.76027,15.602928,0.788838989,2520.0,268.325,Transit,2009,WASP-19
WASP-17 b,151.60491,21.655788,3.7354845,1755.0,405.908,Transit,2009,WASP-17
WASP-17 b,154.46538,22.317119,3.735438,1771.0,405.908,Transit,2009,WASP-17
WASP-39 b,,,4.05527999,,213.982,Transit,2011,WASP-39
GJ 3470 b,13.9,4.83,3.33665,,29.4214,Radial Velocity,2012,GJ 3470
HD 3167 b,,1.557,0.959628,1860.0,47.2899,Transit,2016,HD 3167
HD 3167 c,,2.85,29.8454,500.0,47.2899,Transit,2016,HD 3167
WASP-17 b,154.46538,19.582123,3.735438,,405.908,Transit,2009,WASP-17
GJ 3470 b,13.9,4.57,3.3366496,593.5,29.4214,Radial Velocity,2012,GJ 3470
HAT-P-1 b,,,,1322.0,158.979,Transit,2006,HAT-P-1
WASP-17 b,,,,1738.0,405.908,Transit,2009,WASP-17
WASP-19 b,,,,2050.0,268.325,Transit,2009,WASP-19
HAT-P-11 b,,,4.88780267,,37.7647,Transit,2008,HAT-P-11
HD 3167 b,5.02,1.7,0.959641,,47.2899,Transit,2016,HD 3167
HD 3167 c,9.8,3.01,29.8454,,47.2899,Transit,2016,HD 3167
HD 3167 d,,,8.509,,47.2899,Radial Velocity,2017,HD 3167
HD 27894 b,,,18.02,,43.8214,Radial Velocity,2005,HD 27894
HD 11506 c,,,223.41,,51.261,Radial Velocity,2008,HD 11506
HD 3167 c,,2.86,29.83832,531.0,47.2899,Transit,2016,HD 3167
HD 24040 b,,,3498.0,,46.6224,Radial Velocity,2006,HD 24040
HD 183263 c,,,5048.0,,54.1955,Radial Velocity,2008,HD 183263
HD 187123 c,,,3380.0,,45.9548,Radial Velocity,2008,HD 187123
